,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
24,2020-01-07,18.15,17.78,0.37,1461400,144.01,144.98,-0.97,7382900,47.4,43.34,4.06,562100,"28,639.18","28,583.68",55.5,"258,900,000",37.12,36.76,0.35,20108107,,,,
25,2020-01-08,17.99,17.98,0.01,1041600,144.87,144.96,-0.09,6605800,44.3,45.1,-0.8,193900,"28,556.14","28,745.09",-188.95,"291,750,000",36.77,37.06,-0.28,16403507,,,,
26,2020-01-09,18.0,18.4,-0.4,1495700,145.76,145.39,0.37,6112700,46.55,43.27,3.28,234900,"28,851.97","28,956.90",-104.93,"275,060,000",37.26,36.9,0.36,21971895,,,,
27,2020-01-10,21.0,19.14,1.86,4504700,145.75,145.06,0.69,5042600,44.99,39.68,5.31,369100,"28,977.52","28,823.77",153.75,"237,830,000",36.98,37.47,-0.48,21557357,,,,
28,2020-01-13,19.26,20.26,-1.0,2207500,145.48,145.7,-0.22,4593200,41.01,37.83,3.18,459400,"28,869.01","28,907.05",-38.04,"249,830,000",37.59,37.39,0.2,15392405,,,,
29,2020-01-14,20.45,20.0,0.45,1782800,145.05,146.52,-1.47,7037500,35.3,34.53,0.77,266300,"28,895.50","28,939.67",-44.17,"287,440,000",37.41,38.02,-0.61,20919160,,,,
30,2020-01-15,19.94,20.24,-0.3,2055000,146.4,147.01,-0.61,4960300,35.3,34.55,0.75,361000,"28,901.80","29,030.22",-128.42,"260,270,000",38.13,38.59,-0.46,23925800,,,,
31,2020-01-16,21.68,21.01,0.67,4918400,147.42,148.2,-0.78,6476000,35.75,32.25,3.5,692100,"29,131.95","29,297.64",-165.69,"252,110,000",38.7,38.53,0.17,16216422,,,,
32,2020-01-17,21.5,20.62,0.88,3348400,148.41,149.17,-0.76,9083600,33.05,33.18,-0.13,615100,"29,313.31","29,348.10",-34.79,"321,820,000",38.49,38.43,0.06,23083970,,,,
33,2020-01-21,20.79,20.94,-0.15,2089600,148.58,149.27,-0.69,9543900,33.79,36.54,-2.75,264500,"29,269.05","29,196.04",73.01,"320,640,000",38.31,38.27,0.04,23115696,,,,
34,2020-01-22,22.08,21.97,0.11,10920700,146.7,148.25,-1.55,10305300,37.61,38.88,-1.27,318200,"29,263.63","29,186.27",77.36,"283,440,000",38.25,38.13,0.12,18097812,,,,
35,2020-01-23,22.17,21.47,0.7,3663900,148.04,148.53,-0.49,8671900,37.21,36.7,0.51,192900,"29,111.02","29,160.09",-49.07,"307,060,000",38.13,38.62,-0.49,27148510,0.0,0.0,0.0,189810.0
36,2020-01-24,21.6,21.12,0.48,2947800,148.58,148.32,0.26,9051900,35.32,34.99,0.33,209700,"29,230.39","28,989.73",240.66,"380,010,000",38.84,37.78,1.06,34143698,0.0,0.0,0.0,189551.0
37,2020-01-27,22.1,22.74,-0.64,10294700,147.52,148.75,-1.23,7587100,33.24,33.2,0.04,120000,"28,542.49","28,535.80",6.69,"337,270,000",37.39,38.1,-0.71,31964026,0.0,0.0,0.0,176736.0
38,2020-01-28,23.5,22.36,1.14,5649300,148.46,149.5,-1.04,7336600,34.04,34.22,-0.18,165200,"28,594.28","28,722.85",-128.57,"330,140,000",37.31,36.19,1.12,70202408,0.0,0.0,0.0,178310.0
39,2020-01-29,22.23,20.55,1.68,4671900,149.45,150.54,-1.09,6288600,33.95,31.8,2.15,184200,"28,820.53","28,734.45",86.08,"302,290,000",36.17,35.65,0.51,34165726,0.0,0.0,0.0,184425.0
40,2020-01-30,21.05,20.99,0.06,3061800,150.03,150.36,-0.33,6470600,30.7,29.9,0.8,228600,"28,640.16","28,859.44",-219.28,"326,850,000",35.2,35.17,0.03,32316589,0.0,0.0,0.0,186239.0
41,2020-01-31,21.14,20.51,0.63,2833600,149.75,148.87,0.88,8651700,30.36,29.21,1.15,138700,"28,813.04","28,256.03",557.01,"403,890,000",35.05,35.33,-0.28,33894005,0.0,0.0,0.0,184949.0
42,2020-02-03,20.66,20.38,0.28,3155400,149.42,150.17,-0.75,5765200,29.8,30.27,-0.47,177600,"28,319.65","28,399.81",-80.16,"307,910,000",35.54,35.59,-0.05,20875735,0.0,0.0,0.0,179441.0
43,2020-02-04,20.09,20.87,-0.78,1824400,151.49,151.6,-0.11,6541400,29.17,32.92,-3.75,137600,"28,696.74","28,807.63",-110.89,"332,750,000",36.13,35.76,0.37,31150865,0.0,0.0,0.0,170708.0
